from,to,count,,,,,,,,,,,
AFORE XXI BANORTE,AFORE XXI BANORTE,0,,,,,,,,,,,
AFORE XXI BANORTE,PROFUTURO AFORE S.A. DE C.V.,2702,,,,,,,,,,,
AFORE XXI BANORTE,PRINCIPAL AFORE,1098,,,,,,,,,,,
AFORE XXI BANORTE,AFORE SURA,2778,,,,,,,,,,,
AFORE XXI BANORTE,AFORE INBURSA,823,,,,,,,,,,,
AFORE XXI BANORTE,AFORE BANAMEX,8959,,,,,,,,,,,
AFORE XXI BANORTE,AFORE AZTECA,6033,,,,,,,,,,,
AFORE XXI BANORTE,AFORE INVERCAP,1725,,,,,,,,,,,
AFORE XXI BANORTE,AFORE METLIFE,394,,,,,,,,,,,
AFORE XXI BANORTE,AFORE COPPEL,8148,,,,,,,,,,,
AFORE XXI BANORTE,PENSIONISSSTE,436,,,,,,,,,,,
PROFUTURO AFORE S.A. DE C.V.,AFORE XXI BANORTE,2118,,,,,,,,,,,
PROFUTURO AFORE S.A. DE C.V.,PROFUTURO AFORE S.A. DE C.V.,0,,,,,,,,,,,
PROFUTURO AFORE S.A. DE C.V.,PRINCIPAL AFORE,366,,,,,,,,,,,
PROFUTURO AFORE S.A. DE C.V.,AFORE SURA,918,,,,,,,,,,,
PROFUTURO AFORE S.A. DE C.V.,AFORE INBURSA,260,,,,,,,,,,,
PROFUTURO AFORE S.A. DE C.V.,AFORE BANAMEX,2802,,,,,,,,,,,
PROFUTURO AFORE S.A. DE C.V.,AFORE AZTECA,1787,,,,,,,,,,,
PROFUTURO AFORE S.A. DE C.V.,AFORE INVERCAP,448,,,,,,,,,,,
PROFUTURO AFORE S.A. DE C.V.,AFORE METLIFE,165,,,,,,,,,,,
PROFUTURO AFORE S.A. DE C.V.,AFORE COPPEL,3248,,,,,,,,,,,
PROFUTURO AFORE S.A. DE C.V.,PENSIONISSSTE,154,,,,,,,,,,,
PRINCIPAL AFORE,AFORE XXI BANORTE,1564,,,,,,,,,,,
PRINCIPAL AFORE,PROFUTURO AFORE S.A. DE C.V.,586,,,,,,,,,,,
PRINCIPAL AFORE,PRINCIPAL AFORE,0,,,,,,,,,,,
PRINCIPAL AFORE,AFORE SURA,630,,,,,,,,,,,
PRINCIPAL AFORE,AFORE INBURSA,181,,,,,,,,,,,
PRINCIPAL AFORE,AFORE BANAMEX,2281,,,,,,,,,,,
PRINCIPAL AFORE,AFORE AZTECA,1646,,,,,,,,,,,
PRINCIPAL AFORE,AFORE INVERCAP,301,,,,,,,,,,,
PRINCIPAL AFORE,AFORE METLIFE,107,,,,,,,,,,,
PRINCIPAL AFORE,AFORE COPPEL,2450,,,,,,,,,,,
PRINCIPAL AFORE,PENSIONISSSTE,89,,,,,,,,,,,
AFORE SURA,AFORE XXI BANORTE,3105,,,,,,,,,,,
AFORE SURA,PROFUTURO AFORE S.A. DE C.V.,3603,,,,,,,,,,,
AFORE SURA,PRINCIPAL AFORE,859,,,,,,,,,,,
AFORE SURA,AFORE SURA,0,,,,,,,,,,,
AFORE SURA,AFORE INBURSA,499,,,,,,,,,,,
AFORE SURA,AFORE BANAMEX,6260,,,,,,,,,,,
AFORE SURA,AFORE AZTECA,3872,,,,,,,,,,,
AFORE SURA,AFORE INVERCAP,719,,,,,,,,,,,
AFORE SURA,AFORE METLIFE,228,,,,,,,,,,,
AFORE SURA,AFORE COPPEL,7847,,,,,,,,,,,
AFORE SURA,PENSIONISSSTE,160,,,,,,,,,,,
AFORE INBURSA,AFORE XXI BANORTE,1226,,,,,,,,,,,
AFORE INBURSA,PROFUTURO AFORE S.A. DE C.V.,347,,,,,,,,,,,
AFORE INBURSA,PRINCIPAL AFORE,215,,,,,,,,,,,
AFORE INBURSA,AFORE SURA,466,,,,,,,,,,,
AFORE INBURSA,AFORE INBURSA,0,,,,,,,,,,,
AFORE INBURSA,AFORE BANAMEX,1320,,,,,,,,,,,
AFORE INBURSA,AFORE AZTECA,661,,,,,,,,,,,
AFORE INBURSA,AFORE INVERCAP,176,,,,,,,,,,,
AFORE INBURSA,AFORE METLIFE,70,,,,,,,,,,,
AFORE INBURSA,AFORE COPPEL,682,,,,,,,,,,,
AFORE INBURSA,PENSIONISSSTE,56,,,,,,,,,,,
AFORE BANAMEX,AFORE XXI BANORTE,5171,,,,,,,,,,,
AFORE BANAMEX,PROFUTURO AFORE S.A. DE C.V.,3484,,,,,,,,,,,
AFORE BANAMEX,PRINCIPAL AFORE,830,,,,,,,,,,,
AFORE BANAMEX,AFORE SURA,2451,,,,,,,,,,,
AFORE BANAMEX,AFORE INBURSA,612,,,,,,,,,,,
AFORE BANAMEX,AFORE BANAMEX,0,,,,,,,,,,,
AFORE BANAMEX,AFORE AZTECA,6432,,,,,,,,,,,
AFORE BANAMEX,AFORE INVERCAP,1275,,,,,,,,,,,
AFORE BANAMEX,AFORE METLIFE,294,,,,,,,,,,,
AFORE BANAMEX,AFORE COPPEL,11761,,,,,,,,,,,
AFORE BANAMEX,PENSIONISSSTE,233,,,,,,,,,,,
AFORE AZTECA,AFORE XXI BANORTE,2034,,,,,,,,,,,
AFORE AZTECA,PROFUTURO AFORE S.A. DE C.V.,157,,,,,,,,,,,
AFORE AZTECA,PRINCIPAL AFORE,259,,,,,,,,,,,
AFORE AZTECA,AFORE SURA,402,,,,,,,,,,,
AFORE AZTECA,AFORE INBURSA,101,,,,,,,,,,,
AFORE AZTECA,AFORE BANAMEX,5877,,,,,,,,,,,
AFORE AZTECA,AFORE AZTECA,0,,,,,,,,,,,
AFORE AZTECA,AFORE INVERCAP,391,,,,,,,,,,,
AFORE AZTECA,AFORE METLIFE,74,,,,,,,,,,,
AFORE AZTECA,AFORE COPPEL,4650,,,,,,,,,,,
AFORE AZTECA,PENSIONISSSTE,24,,,,,,,,,,,
AFORE INVERCAP,AFORE XXI BANORTE,4960,,,,,,,,,,,
AFORE INVERCAP,PROFUTURO AFORE S.A. DE C.V.,1003,,,,,,,,,,,
AFORE INVERCAP,PRINCIPAL AFORE,542,,,,,,,,,,,
AFORE INVERCAP,AFORE SURA,1198,,,,,,,,,,,
AFORE INVERCAP,AFORE INBURSA,310,,,,,,,,,,,
AFORE INVERCAP,AFORE BANAMEX,3952,,,,,,,,,,,
AFORE INVERCAP,AFORE AZTECA,1609,,,,,,,,,,,
AFORE INVERCAP,AFORE INVERCAP,0,,,,,,,,,,,
AFORE INVERCAP,AFORE METLIFE,204,,,,,,,,,,,
AFORE INVERCAP,AFORE COPPEL,2390,,,,,,,,,,,
AFORE INVERCAP,PENSIONISSSTE,95,,,,,,,,,,,
AFORE METLIFE,AFORE XXI BANORTE,1000,,,,,,,,,,,
AFORE METLIFE,PROFUTURO AFORE S.A. DE C.V.,644,,,,,,,,,,,
AFORE METLIFE,PRINCIPAL AFORE,414,,,,,,,,,,,
AFORE METLIFE,AFORE SURA,549,,,,,,,,,,,
AFORE METLIFE,AFORE INBURSA,89,,,,,,,,,,,
AFORE METLIFE,AFORE BANAMEX,937,,,,,,,,,,,
AFORE METLIFE,AFORE AZTECA,382,,,,,,,,,,,
AFORE METLIFE,AFORE INVERCAP,172,,,,,,,,,,,
AFORE METLIFE,AFORE METLIFE,0,,,,,,,,,,,
AFORE METLIFE,AFORE COPPEL,688,,,,,,,,,,,
AFORE METLIFE,PENSIONISSSTE,197,,,,,,,,,,,
AFORE COPPEL,AFORE XXI BANORTE,7858,,,,,,,,,,,
AFORE COPPEL,PROFUTURO AFORE S.A. DE C.V.,563,,,,,,,,,,,
AFORE COPPEL,PRINCIPAL AFORE,716,,,,,,,,,,,
AFORE COPPEL,AFORE SURA,1482,,,,,,,,,,,
AFORE COPPEL,AFORE INBURSA,299,,,,,,,,,,,
AFORE COPPEL,AFORE BANAMEX,23955,,,,,,,,,,,
AFORE COPPEL,AFORE AZTECA,13061,,,,,,,,,,,
AFORE COPPEL,AFORE INVERCAP,1495,,,,,,,,,,,
AFORE COPPEL,AFORE METLIFE,238,,,,,,,,,,,
AFORE COPPEL,AFORE COPPEL,0,,,,,,,,,,,
AFORE COPPEL,PENSIONISSSTE,77,,,,,,,,,,,
PENSIONISSSTE,AFORE XXI BANORTE,900,,,,,,,,,,,
PENSIONISSSTE,PROFUTURO AFORE S.A. DE C.V.,1328,,,,,,,,,,,
PENSIONISSSTE,PRINCIPAL AFORE,191,,,,,,,,,,,
PENSIONISSSTE,AFORE SURA,629,,,,,,,,,,,
PENSIONISSSTE,AFORE INBURSA,116,,,,,,,,,,,
PENSIONISSSTE,AFORE BANAMEX,2218,,,,,,,,,,,
PENSIONISSSTE,AFORE AZTECA,412,,,,,,,,,,,
PENSIONISSSTE,AFORE INVERCAP,150,,,,,,,,,,,
PENSIONISSSTE,AFORE METLIFE,92,,,,,,,,,,,
PENSIONISSSTE,AFORE COPPEL,1483,,,,,,,,,,,
PENSIONISSSTE,PENSIONISSSTE,0,,,,,,,,,,,
